sysTime name age sex trialN audioCnd gbrDir gbrPresTime gbrRT gbrACC 
183817870 E123 23 1 79 0 left 16 -1 -1 
183820139 E123 23 1 79 0 left 16 2234 1 
183824860 E123 23 1 79 0 left 16 2234 1 
183827860 E123 23 1 79 0 left 16 2234 1 
183827866 E123 23 1 80 0 right 16 -1 -1 
183828878 E123 23 1 80 0 right 16 -1 -1 
183831020 E123 23 1 80 0 right 16 2107 1 
183835951 E123 23 1 80 0 right 16 2107 1 
183838951 E123 23 1 80 0 right 16 2107 1 
183838957 E123 23 1 81 0 left 32 -1 -1 
183839970 E123 23 1 81 0 left 32 -1 -1 
183842387 E123 23 1 81 0 left 32 2365 1 
183846292 E123 23 1 81 0 left 32 2365 1 
183849292 E123 23 1 81 0 left 32 2365 1 
183849298 E123 23 1 82 0 left 48 -1 -1 
183850311 E123 23 1 82 0 left 48 -1 -1 
183851147 E123 23 1 82 0 left 48 768 1 
183855015 E123 23 1 82 0 left 48 768 1 
183858015 E123 23 1 82 0 left 48 768 1 
183858020 E123 23 1 83 0 right 16 -1 -1 
183859034 E123 23 1 83 0 right 16 -1 -1 
183860948 E123 23 1 83 0 right 16 1878 1 
183864756 E123 23 1 83 0 right 16 1878 1 
183867756 E123 23 1 83 0 right 16 1878 1 
183867762 E123 23 1 84 0 right 32 -1 -1 
183868775 E123 23 1 84 0 right 32 -1 -1 
183871028 E123 23 1 84 0 right 32 2202 1 
183875848 E123 23 1 84 0 right 32 2202 1 
183878848 E123 23 1 84 0 right 32 2202 1 
183878854 E123 23 1 85 0 left 48 -1 -1 
183879866 E123 23 1 85 0 left 48 -1 -1 
183880954 E123 23 1 85 0 left 48 1019 1 
183885572 E123 23 1 85 0 left 48 1019 1 
183888572 E123 23 1 85 0 left 48 1019 1 
183888578 E123 23 1 86 0 left 32 -1 -1 
183889590 E123 23 1 86 0 left 32 -1 -1 
183890426 E123 23 1 86 0 left 32 784 1 
183895262 E123 23 1 86 0 left 32 784 1 
183898262 E123 23 1 86 0 left 32 784 1 
183898268 E123 23 1 87 0 right 48 -1 -1 
183899281 E123 23 1 87 0 right 48 -1 -1 
183900122 E123 23 1 87 0 right 48 773 1 
183904135 E123 23 1 87 0 right 48 773 1 
183907135 E123 23 1 87 0 right 48 773 1 
183907141 E123 23 1 88 0 right 16 -1 -1 
183908154 E123 23 1 88 0 right 16 -1 -1 
183910682 E123 23 1 88 0 right 16 2477 1 
183914543 E123 23 1 88 0 right 16 2477 1 
183917543 E123 23 1 88 0 right 16 2477 1 
183917549 E123 23 1 89 0 left 48 -1 -1 
183918561 E123 23 1 89 0 left 48 -1 -1 
183919507 E123 23 1 89 0 left 48 877 1 
183923633 E123 23 1 89 0 left 48 877 1 
183926633 E123 23 1 89 0 left 48 877 1 
183926639 E123 23 1 90 0 right 16 -1 -1 
183927652 E123 23 1 90 0 right 16 -1 -1 
183929842 E123 23 1 90 0 right 16 2138 1 
183934858 E123 23 1 90 0 right 16 2138 1 
183937858 E123 23 1 90 0 right 16 2138 1 
183937864 E123 23 1 91 0 left 48 -1 -1 
183938877 E123 23 1 91 0 left 48 -1 -1 
183939754 E123 23 1 91 0 left 48 809 1 
183944365 E123 23 1 91 0 left 48 809 1 
183947365 E123 23 1 91 0 left 48 809 1 
183947371 E123 23 1 92 0 left 48 -1 -1 
183948384 E123 23 1 92 0 left 48 -1 -1 
183949218 E123 23 1 92 0 left 48 766 1 
183954990 E123 23 1 92 0 left 48 766 1 
183957990 E123 23 1 92 0 left 48 766 1 
183957996 E123 23 1 93 0 left 16 -1 -1 
183959008 E123 23 1 93 0 left 16 -1 -1 
183960481 E123 23 1 93 0 left 16 1438 1 
183966582 E123 23 1 93 0 left 16 1438 1 
183969582 E123 23 1 93 0 left 16 1438 1 
183969588 E123 23 1 94 0 left 64 -1 -1 
183970600 E123 23 1 94 0 left 64 -1 -1 
183971370 E123 23 1 94 0 left 64 685 1 
183975605 E123 23 1 94 0 left 64 685 1 
183978605 E123 23 1 94 0 left 64 685 1 
183978611 E123 23 1 95 0 right 48 -1 -1 
183979623 E123 23 1 95 0 right 48 -1 -1 
183980322 E123 23 1 95 0 right 48 630 1 
183984345 E123 23 1 95 0 right 48 630 1 
183987345 E123 23 1 95 0 right 48 630 1 
