sysTime name age sex trialN audioCnd gbrDir gbrPresTime gbrRT gbrACC 
246309464 E124 21 1 49 0 right 32 594 1 
246312464 E124 21 1 49 0 right 32 594 1 
246312471 E124 21 1 50 0 left 48 -1 -1 
246313482 E124 21 1 50 0 left 48 -1 -1 
246314329 E124 21 1 50 0 left 48 778 1 
246318604 E124 21 1 50 0 left 48 778 1 
246321604 E124 21 1 50 0 left 48 778 1 
246321611 E124 21 1 51 0 right 16 -1 -1 
246322622 E124 21 1 51 0 right 16 -1 -1 
246323209 E124 21 1 51 0 right 16 551 0 
246327494 E124 21 1 51 0 right 16 551 0 
246330494 E124 21 1 51 0 right 16 551 0 
246330501 E124 21 1 52 0 right 48 -1 -1 
246331512 E124 21 1 52 0 right 48 -1 -1 
246332208 E124 21 1 52 0 right 48 627 1 
246336317 E124 21 1 52 0 right 48 627 1 
246339317 E124 21 1 52 0 right 48 627 1 
246339324 E124 21 1 53 0 right 32 -1 -1 
246340336 E124 21 1 53 0 right 32 -1 -1 
246340935 E124 21 1 53 0 right 32 548 1 
246345007 E124 21 1 53 0 right 32 548 1 
246348007 E124 21 1 53 0 right 32 548 1 
246348013 E124 21 1 54 0 right 16 -1 -1 
246349025 E124 21 1 54 0 right 16 -1 -1 
246349743 E124 21 1 54 0 right 16 683 1 
246354397 E124 21 1 54 0 right 16 683 1 
246357397 E124 21 1 54 0 right 16 683 1 
246357404 E124 21 1 55 0 right 16 -1 -1 
246358416 E124 21 1 55 0 right 16 -1 -1 
246358968 E124 21 1 55 0 right 16 517 0 
246362954 E124 21 1 55 0 right 16 517 0 
246365954 E124 21 1 55 0 right 16 517 0 
246365961 E124 21 1 56 0 right 32 -1 -1 
246366972 E124 21 1 56 0 right 32 -1 -1 
246367608 E124 21 1 56 0 right 32 585 1 
246371593 E124 21 1 56 0 right 32 585 1 
246374593 E124 21 1 56 0 right 32 585 1 
246374600 E124 21 1 57 0 left 16 -1 -1 
246375612 E124 21 1 57 0 left 16 -1 -1 
246376279 E124 21 1 57 0 left 16 632 1 
246380450 E124 21 1 57 0 left 16 632 1 
246383450 E124 21 1 57 0 left 16 632 1 
246383457 E124 21 1 58 0 left 64 -1 -1 
246384468 E124 21 1 58 0 left 64 -1 -1 
246384984 E124 21 1 58 0 left 64 430 1 
246389056 E124 21 1 58 0 left 64 430 1 
246392056 E124 21 1 58 0 left 64 430 1 
246392063 E124 21 1 59 0 right 16 -1 -1 
246393075 E124 21 1 59 0 right 16 -1 -1 
246393840 E124 21 1 59 0 right 16 730 0 
246398580 E124 21 1 59 0 right 16 730 0 
246401580 E124 21 1 59 0 right 16 730 0 
246401587 E124 21 1 60 0 left 32 -1 -1 
246402598 E124 21 1 60 0 left 32 -1 -1 
246403638 E124 21 1 60 0 left 32 988 1 
246407520 E124 21 1 60 0 left 32 988 1 
246410520 E124 21 1 60 0 left 32 988 1 
246410526 E124 21 1 61 0 left 32 -1 -1 
246411538 E124 21 1 61 0 left 32 -1 -1 
246412206 E124 21 1 61 0 left 32 616 1 
246416026 E124 21 1 61 0 left 32 616 1 
246419026 E124 21 1 61 0 left 32 616 1 
246419032 E124 21 1 62 0 left 16 -1 -1 
246420045 E124 21 1 62 0 left 16 -1 -1 
246420782 E124 21 1 62 0 left 16 686 1 
246425233 E124 21 1 62 0 left 16 686 1 
246428233 E124 21 1 62 0 left 16 686 1 
